Parameter,TICv8,Gaia DR2,Bonomo et al. 2017,Stassun et al. 2017,Sedaghati et al. 2016,Tsantaki et al. 2014,Knutson et al. 2014,Mortier et al. 2013,Southworth et al. 2012,Anderson et al. 2011,Triaud et al. 2010,Anderson et al. 2010,ExoFOP-TESS TOI
T_eff,6548.000+138.197-142.289,6218.000+317.667-138.020,6650+/-80,6550+/-100,---,6666+/-30,---,6794+/-83,---,6650+/-80,6650+/-80,6550+/-100,6650
systematic_radial_velocity,---,-47.977050594515134+/-1.270531493274848,---,---,---,---,---,---,---,-49.51367+/-0.00056,---,-49.5128+/-0.0016,---
vsini,---,---,10.05+0.88-0.79,---,---,9.93,---,---,---,10.05+0.88-0.79,9.920+0.400-0.450,9.0+/-1.5,---
stellar_mass,1.354000+0.269619-0.158546,---,1.306+/-0.026,2.28+/-0.99,1.306+/-0.026,---,1.286+/-0.079,1.20+/-0.08,1.286+/-0.079,1.306+/-0.026,1.20+/-0.12,1.20+/-0.12,---
stellar_radius,1.5732300+0.0842382-0.0924704,1.6021124+0.0735638-0.1519570,1.572+/-0.056,1.49+/-0.19,1.572+/-0.056,---,---,0.73+/-0.08,1.583+/-0.041,1.572+/-0.056,1.579+0.067-0.060,1.38+/-0.20,1.57+/-0.09
metallicity,---,---,"-0.190+/-0.090 ",-0.25,---,"-0.04+/-0.03 ","-0.020+/-0.090 ","-0.12+/-0.05 ",---,"-0.19+/-0.09 ","-0.19+/-0.09 ",---,---
stellar_density,0.4902361+0.0978443-0.1589762,---,---,0.980+/-0.200,---,---,---,0.32+/-0.01,0.457+/-0.017,0.474+/-0.042,0.428+0.023-0.028,---,---
log_g,4.1761000+0.0689027-0.1220980,---,---,4.20+/-0.20,---,4.26+/-0.06,---,4.83+/-0.09,4.149+/-0.014,4.161+/-0.026,4.45+/-0.15,---,4.1639
spectral_type,---,---,---,---,---,---,---,---,---,---,F4,---,---
stellar_luminosity,0.6127156+0.0318970-0.0319628,0.5386836+0.0123959-0.0127602,---,---,---,---,---,---,---,---,---,---,---
age,---,---,2.65+/-0.25,---,---,---,---,---,2.70+0.85-1.17,---,---,---,---
colour,#1f77b4,#ff7f0e,#2ca02c,#d62728,#9467bd,#8c564b,#e377c2,#7f7f7f,#bcbd22,#17becf,b,g,r
