Parameter,WASP-17b,WASP-39b,HAT-P-26b,HAT-P-32b
T_0,1630.861610663565+0.00029717062670897576-0.0002908106357608631,2702.3957973500133+0.0003718749835570634-0.0003685148008116812,2670.424173554393+0.0008781483138591284-0.0009296995576733025,2883.6177900335633+0.00011862964129250031-0.00011805953499788302
RpRs,0.12132331355382717+0.0009057218589828414-0.0009405511105848724,0.14149026038025142+0.0012659907267314197-0.0013895062684256276,0.0727840928103202+0.001963566097598249-0.0026795606319987564,0.1495977792227567+0.00020492931499896394-0.00020731215967234595
P,3.735457546163345+0.00005353-0.00006277,4.054861395226134+0.0001998695909275483-0.00020075413084086335,4.2343900775565935+0.000354263518044462-0.00034790771483450555,2.149984832035263+0.00001701-1.6921524499391438e-05
i,88.05242038422188+0.8237098425502438-1.0511485587420992,88.49241205142391+0.5464367800084631-0.7526854382646491,87.41595086559371+1.5393319612684024-1.7007207030691802,89.51307084813853+0.4541524196908284-0.3370493666963341
a/R*,7.309401355606358+0.21775645687941125-0.18176546546827677,12.056556882534395+0.487974056149481-0.4686394511404739,11.592504364704151+1.5751304667490036-1.3971207574396054,6.0277563430964864+0.03765612820454667-0.03502487609258775
e,---,---,0.12116828485016282+0.05722449180824006-0.05730449801913895,0.015686429867747265+0.008247418786619793-0.008815838581999996
sigma,0.0008084652860793481+0.00007816-0.00010340527501546308,0.0011290750648156583+0.0002740331871066556-0.0005434285388144153,0.00016801101926346246+0.00003399-0.00003398,0.0007847154829236353+0.00008914-0.00011703217303359265
rho,0.19044211595490584+0.027793919426255725-0.034964911832951306,1.47932138724324+0.48585198588824985-0.830640117545747,0.11912357198489529+0.047907160668278936-0.240630112168655,0.5295657120072492+0.06476360063362813-0.0813420768575761
transits,5,3,3,13
colour,"(0.798216, 0.280197, 0.469538, 1.0)","(0.239346, 0.300855, 0.540844, 1.0)","(0.177423, 0.437527, 0.557565, 1.0)","(0.127568, 0.566949, 0.550556, 1.0)"
