Parameter,Stassun et al. 2017,Patel & Espinoza 2022,Ivshina & Winn 2022,Bonomo et al. 2017,Sedaghati et al. 2016,Southworth et al. 2012,Anderson et al. 2011,Anderson et al. 2010,Alderson et al. 2022,Model A,Model B,Model C,Model D
e,0.0,---,---,0.020,0,0,0.028+0.015-0.018,0.129+0.106-0.068,---,---,---,---,---
i,86.63+/-0.42,---,---,86.83+0.68-0.53,87.06+0.61-0.63,86.71+/-0.30,86.83+0.68-0.56,87.8+2.0-1.0,---,88.26186724077056+0.8517547512023071-1.068488374267119,87.42096806870872+0.3995554192736961-0.48575816676900274,88.05242038422188+0.8237098425502438-1.0511485587420992,87.30852050543098+0.39644874320137546-0.4469813438977468
P,3.735430+/-0.000008,3.7354300+0.0000071-0.0000074,3.7354826+/-0.0000015,3.7354845+/-0.0000019,3.735438,3.7354845+/-0.0000019,3.7354380+/-0.0000068,3.7354417+0.0000072-0.0000073,3.73548546+/-0.00000027,3.7353949699236395+0.00012754633562384043-0.00013292437702805415,3.7354848561896956+0.00000162-0.00000166,3.735457546163345+0.00005353-0.00006277,3.735484553218816+0.0000018351-0.0000018212
R,1.87+/-0.24,---,---,1.991+/-0.081,1.747+/-0.078,1.932+/-0.053,1.991+/-0.081,1.74+0.26-0.23,---,---,---,---,---
a,---,---,---,0.05151+/-0.00035,0.0513+/-0.0029,0.05125+/-0.00103,0.05150+/-0.00034,0.051+0.0017-0.0018,---,---,---,---,---
T_c,---,2458638.33209+/-0.00026,2457192.70049+/-0.00089,2454592.80154+/-0.00005,2457192.69798+/-0.00028,2454592.80154+/-0.00050,2454577.85806+/-0.00027,2454559.18102+/-0.00028,---,---,---,---,---
b,---,0.180+0.130-0.100,---,---,0.361+/-0.069,---,0.401+0.059-0.077,---,---,---,---,---,---
RpRs,---,0.1218+0.0016-0.0014,---,---,0.12345+/-0.00109,0.1255+/-0.0007,---,---,---,0.12053255948195171+0.0004945013872587195-0.0005863619186748659,0.12147588016957986+0.0003907017476803415-0.0003824931670753512,0.12132331355382717+0.0009057218589828414-0.0009405511105848724,0.12217592094892667+0.0005177504782353098-0.0005317829957894732
delta,1.700+/-0.018,---,---,---,---,---,1.696+/-0.026,1.672+0.029-0.035,---,---,---,---,---
transit_duration,---,---,---,---,---,---,4.392+/-0.041,4.3728+0.0456-0.0552,---,---,---,---,---
w,---,---,---,---,90,---,-70.6,290+106-16,---,---,---,---,---
a/R*,8.97+/-0.62,7.32+0.11-0.18,---,---,7.025+/-0.146,6.9638+0.0884-0.0862,---,---,---,7.377730002496927+0.21106325142519733-0.15421152502392577,7.16077405519621+0.11950623348097089-0.1293468212601674,7.309401355606358+0.21775645687941125-0.18176546546827677,7.115132869990389+0.12153948281163807-0.12358911715488485
colour,#1f77b4,#ff7f0e,#2ca02c,#d62728,#8c564b,#bcbd22,#17becf,g,m,"(0.650746, 0.125309, 0.595617, 1.0)","(0.798216, 0.280197, 0.469538, 1.0)","(0.907365, 0.434524, 0.35297, 1.0)","(0.979233, 0.607532, 0.238013, 1.0)"
