Parameter,Cortes-Zuleta et al. 2020,Patel & Espinoza 2022,Ivshina & Winn 2022,Kokori et al. 2022,Bonomo et al. 2017,Barstow et al. 2017,Wong et al. 2016,Sing et al. 2016,Sedaghati et al. 2015,Knutson et al. 2014,Lendl et al. 2013,Tregloan-Reed et al. 2013,Hellier et al. 2011,ExoFOP-TESS TOI
b,0.6671+0.0087-0.0091,0.637+0.021-0.025,---,---,---,---,---,---,---,---,0.645+/-0.012,---,0.657+/-0.015,---
w,51.0+89.0-190.0,---,---,---,---,---,259+13-170,---,---,260+15-170,43+28-67,---,3+/-70,---
e,0.0126+0.0140-0.0089,---,---,---,0.0061,---,0.0020+0.0140-0.0020,---,---,0.00240+0.00940-0.00190,0.00770+0.00680-0.00320,---,0.0046+0.0044-0.0028,---
i,79.08+0.34-0.37,---,---,---,80.50+/-0.70,---,78.78+/-0.58,---,80.36+0.76-0.81,---,79.54+/-0.33,78.94+/-0.23,79.4+/-0.4,---
P,0.78883852+0.00000075-0.00000082,0.7888390+/-0.0000000,0.788839025+/-0.000000022,0.788839195+/-0.000000019,0.7888396+/-0.0000010,---,0.788838989+/-0.000000040,0.79,---,---,0.7888390+/-0.0000002,0.78883942+/-0.00000033,0.7888400+/-0.0000003,0.7888392476341+/-0.0000004881454
R,1.415+0.044-0.048,---,---,---,1.310+/-0.060,---,1.392+/-0.040,1.41,---,---,1.376+/-0.046,1.395+/-0.025,1.386+/-0.032,1.43855300662365+/-0.06842772956153
a,0.01652+0.00050-0.00056,---,---,---,0.01649+0.00053-0.00056,---,0.01634+/-0.00024,---,---,---,0.01653+/-0.00046,0.01616+/-0.00027,0.01655+/-0.00013,---
transit_duration,1.607+/-0.007,---,---,---,---,---,---,---,---,---,1.581+/-0.008,---,1.5720+/-0.0072,1.59671071367818+/-0.00960537900000
T_c,2456402.7128+0.0017-0.0014,2458556.24349+/-0.00009,2456977.776606+/-0.000042,2456688.273095+/-0.000023,2454775.33745+/-0.00035,---,2455708.534626+/-0.000019,---,2456977.77722+/-0.00013,---,2456029.59204+/-0.00013,2454775.33754+/-0.00018,2455168.96801+/-0.00009,2459304.0627150+/-0.0001451
RpRs,0.14410+0.00049-0.00050,0.1519+0.0018-0.0020,---,---,---,---,0.1409+/-0.0013,---,0.1416+0.0019-0.0018,---,---,0.1428+/-0.0006,---,---
colour,#1f77b4,#ff7f0e,#2ca02c,#d62728,#9467bd,#8c564b,#e377c2,#7f7f7f,#bcbd22,#17becf,b,g,m,y
